Year of Birth,Gender,Ethnicity,Child's First Name,Count,Rank
2022,MALE,OTHER ETHNICITY,Thomas4334,166,35
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah4335,165,36
2016,MALE,BLACK NON HISPANIC,Charles4336,164,37
2017,FEMALE,HISPANIC,Karen4337,163,38
2018,MALE,WHITE NON HISPANIC,Christopher4338,162,39
2019,FEMALE,OTHER ETHNICITY,Nancy4339,161,40
2020,MALE,ASIAN AND PACIFIC ISLANDER,James4340,160,41
2021,FEMALE,BLACK NON HISPANIC,Mary4341,159,42
2022,MALE,HISPANIC,Robert4342,158,43
2023,FEMALE,WHITE NON HISPANIC,Patricia4343,157,44
2016,MALE,OTHER ETHNICITY,Michael4344,156,45
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer4345,155,46
2018,MALE,BLACK NON HISPANIC,William4346,154,47
2019,FEMALE,HISPANIC,Linda4347,153,48
2020,MALE,WHITE NON HISPANIC,David4348,152,49
2021,FEMALE,OTHER ETHNICITY,Barbara4349,151,50
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard4350,150,1
2023,FEMALE,BLACK NON HISPANIC,Susan4351,149,2
2016,MALE,HISPANIC,Joseph4352,148,3
2017,FEMALE,WHITE NON HISPANIC,Jessica4353,147,4
2018,MALE,OTHER ETHNICITY,Thomas4354,146,5
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah4355,145,6
2020,MALE,BLACK NON HISPANIC,Charles4356,144,7
2021,FEMALE,HISPANIC,Karen4357,143,8
2022,MALE,WHITE NON HISPANIC,Christopher4358,142,9
2023,FEMALE,OTHER ETHNICITY,Nancy4359,141,10
2016,MALE,ASIAN AND PACIFIC ISLANDER,James4360,140,11
2017,FEMALE,BLACK NON HISPANIC,Mary4361,139,12
2018,MALE,HISPANIC,Robert4362,138,13
2019,FEMALE,WHITE NON HISPANIC,Patricia4363,137,14
2020,MALE,OTHER ETHNICITY,Michael4364,136,15
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer4365,135,16
2022,MALE,BLACK NON HISPANIC,William4366,134,17
2023,FEMALE,HISPANIC,Linda4367,133,18
2016,MALE,WHITE NON HISPANIC,David4368,132,19
2017,FEMALE,OTHER ETHNICITY,Barbara4369,131,20
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard4370,130,21
2019,FEMALE,BLACK NON HISPANIC,Susan4371,129,22
2020,MALE,HISPANIC,Joseph4372,128,23
2021,FEMALE,WHITE NON HISPANIC,Jessica4373,127,24
2022,MALE,OTHER ETHNICITY,Thomas4374,126,25
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah4375,125,26
2016,MALE,BLACK NON HISPANIC,Charles4376,124,27
2017,FEMALE,HISPANIC,Karen4377,123,28
2018,MALE,WHITE NON HISPANIC,Christopher4378,122,29
2019,FEMALE,OTHER ETHNICITY,Nancy4379,121,30
2020,MALE,ASIAN AND PACIFIC ISLANDER,James4380,120,31
2021,FEMALE,BLACK NON HISPANIC,Mary4381,119,32
2022,MALE,HISPANIC,Robert4382,118,33
2023,FEMALE,WHITE NON HISPANIC,Patricia4383,117,34
2016,MALE,OTHER ETHNICITY,Michael4384,116,35
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer4385,115,36
2018,MALE,BLACK NON HISPANIC,William4386,114,37
2019,FEMALE,HISPANIC,Linda4387,113,38
2020,MALE,WHITE NON HISPANIC,David4388,112,39
2021,FEMALE,OTHER ETHNICITY,Barbara4389,111,40
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard4390,110,41
2023,FEMALE,BLACK NON HISPANIC,Susan4391,109,42
2016,MALE,HISPANIC,Joseph4392,108,43
2017,FEMALE,WHITE NON HISPANIC,Jessica4393,107,44
2018,MALE,OTHER ETHNICITY,Thomas4394,106,45
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah4395,105,46
2020,MALE,BLACK NON HISPANIC,Charles4396,104,47
2021,FEMALE,HISPANIC,Karen4397,103,48
2022,MALE,WHITE NON HISPANIC,Christopher4398,102,49
2023,FEMALE,OTHER ETHNICITY,Nancy4399,101,50
2016,MALE,ASIAN AND PACIFIC ISLANDER,James4400,200,1
2017,FEMALE,BLACK NON HISPANIC,Mary4401,199,2
2018,MALE,HISPANIC,Robert4402,198,3
2019,FEMALE,WHITE NON HISPANIC,Patricia4403,197,4
2020,MALE,OTHER ETHNICITY,Michael4404,196,5
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer4405,195,6
2022,MALE,BLACK NON HISPANIC,William4406,194,7
2023,FEMALE,HISPANIC,Linda4407,193,8
2016,MALE,WHITE NON HISPANIC,David4408,192,9
2017,FEMALE,OTHER ETHNICITY,Barbara4409,191,10
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard4410,190,11
2019,FEMALE,BLACK NON HISPANIC,Susan4411,189,12
2020,MALE,HISPANIC,Joseph4412,188,13
2021,FEMALE,WHITE NON HISPANIC,Jessica4413,187,14
2022,MALE,OTHER ETHNICITY,Thomas4414,186,15
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah4415,185,16
2016,MALE,BLACK NON HISPANIC,Charles4416,184,17
2017,FEMALE,HISPANIC,Karen4417,183,18
2018,MALE,WHITE NON HISPANIC,Christopher4418,182,19
2019,FEMALE,OTHER ETHNICITY,Nancy4419,181,20
2020,MALE,ASIAN AND PACIFIC ISLANDER,James4420,180,21
2021,FEMALE,BLACK NON HISPANIC,Mary4421,179,22
2022,MALE,HISPANIC,Robert4422,178,23
2023,FEMALE,WHITE NON HISPANIC,Patricia4423,177,24
2016,MALE,OTHER ETHNICITY,Michael4424,176,25
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer4425,175,26
2018,MALE,BLACK NON HISPANIC,William4426,174,27
2019,FEMALE,HISPANIC,Linda4427,173,28
2020,MALE,WHITE NON HISPANIC,David4428,172,29
2021,FEMALE,OTHER ETHNICITY,Barbara4429,171,30
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard4430,170,31
2023,FEMALE,BLACK NON HISPANIC,Susan4431,169,32
2016,MALE,HISPANIC,Joseph4432,168,33
2017,FEMALE,WHITE NON HISPANIC,Jessica4433,167,34
2018,MALE,OTHER ETHNICITY,Thomas4434,166,35
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah4435,165,36
2020,MALE,BLACK NON HISPANIC,Charles4436,164,37
2021,FEMALE,HISPANIC,Karen4437,163,38
2022,MALE,WHITE NON HISPANIC,Christopher4438,162,39
2023,FEMALE,OTHER ETHNICITY,Nancy4439,161,40
2016,MALE,ASIAN AND PACIFIC ISLANDER,James4440,160,41
2017,FEMALE,BLACK NON HISPANIC,Mary4441,159,42
2018,MALE,HISPANIC,Robert4442,158,43
2019,FEMALE,WHITE NON HISPANIC,Patricia4443,157,44
2020,MALE,OTHER ETHNICITY,Michael4444,156,45
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer4445,155,46
2022,MALE,BLACK NON HISPANIC,William4446,154,47
2023,FEMALE,HISPANIC,Linda4447,153,48
2016,MALE,WHITE NON HISPANIC,David4448,152,49
2017,FEMALE,OTHER ETHNICITY,Barbara4449,151,50
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard4450,150,1
2019,FEMALE,BLACK NON HISPANIC,Susan4451,149,2
2020,MALE,HISPANIC,Joseph4452,148,3
2021,FEMALE,WHITE NON HISPANIC,Jessica4453,147,4
2022,MALE,OTHER ETHNICITY,Thomas4454,146,5
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah4455,145,6
2016,MALE,BLACK NON HISPANIC,Charles4456,144,7
2017,FEMALE,HISPANIC,Karen4457,143,8
2018,MALE,WHITE NON HISPANIC,Christopher4458,142,9
2019,FEMALE,OTHER ETHNICITY,Nancy4459,141,10
2020,MALE,ASIAN AND PACIFIC ISLANDER,James4460,140,11
2021,FEMALE,BLACK NON HISPANIC,Mary4461,139,12
2022,MALE,HISPANIC,Robert4462,138,13
2023,FEMALE,WHITE NON HISPANIC,Patricia4463,137,14
2016,MALE,OTHER ETHNICITY,Michael4464,136,15
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer4465,135,16
2018,MALE,BLACK NON HISPANIC,William4466,134,17
2019,FEMALE,HISPANIC,Linda4467,133,18
2020,MALE,WHITE NON HISPANIC,David4468,132,19
2021,FEMALE,OTHER ETHNICITY,Barbara4469,131,20
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard4470,130,21
2023,FEMALE,BLACK NON HISPANIC,Susan4471,129,22
2016,MALE,HISPANIC,Joseph4472,128,23
2017,FEMALE,WHITE NON HISPANIC,Jessica4473,127,24
2018,MALE,OTHER ETHNICITY,Thomas4474,126,25
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah4475,125,26
2020,MALE,BLACK NON HISPANIC,Charles4476,124,27
2021,FEMALE,HISPANIC,Karen4477,123,28
2022,MALE,WHITE NON HISPANIC,Christopher4478,122,29
2023,FEMALE,OTHER ETHNICITY,Nancy4479,121,30
2016,MALE,ASIAN AND PACIFIC ISLANDER,James4480,120,31
2017,FEMALE,BLACK NON HISPANIC,Mary4481,119,32
2018,MALE,HISPANIC,Robert4482,118,33
2019,FEMALE,WHITE NON HISPANIC,Patricia4483,117,34
2020,MALE,OTHER ETHNICITY,Michael4484,116,35
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer4485,115,36
2022,MALE,BLACK NON HISPANIC,William4486,114,37
2023,FEMALE,HISPANIC,Linda4487,113,38
2016,MALE,WHITE NON HISPANIC,David4488,112,39
2017,FEMALE,OTHER ETHNICITY,Barbara4489,111,40
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard4490,110,41
2019,FEMALE,BLACK NON HISPANIC,Susan4491,109,42
2020,MALE,HISPANIC,Joseph4492,108,43
2021,FEMALE,WHITE NON HISPANIC,Jessica4493,107,44
2022,MALE,OTHER ETHNICITY,Thomas4494,106,45
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah4495,105,46
2016,MALE,BLACK NON HISPANIC,Charles4496,104,47
2017,FEMALE,HISPANIC,Karen4497,103,48
2018,MALE,WHITE NON HISPANIC,Christopher4498,102,49
2019,FEMALE,OTHER ETHNICITY,Nancy4499,101,50
2020,MALE,ASIAN AND PACIFIC ISLANDER,James4500,200,1
2021,FEMALE,BLACK NON HISPANIC,Mary4501,199,2
2022,MALE,HISPANIC,Robert4502,198,3
2023,FEMALE,WHITE NON HISPANIC,Patricia4503,197,4
2016,MALE,OTHER ETHNICITY,Michael4504,196,5
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer4505,195,6
2018,MALE,BLACK NON HISPANIC,William4506,194,7
2019,FEMALE,HISPANIC,Linda4507,193,8
2020,MALE,WHITE NON HISPANIC,David4508,192,9
2021,FEMALE,OTHER ETHNICITY,Barbara4509,191,10
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard4510,190,11
2023,FEMALE,BLACK NON HISPANIC,Susan4511,189,12
2016,MALE,HISPANIC,Joseph4512,188,13
2017,FEMALE,WHITE NON HISPANIC,Jessica4513,187,14
2018,MALE,OTHER ETHNICITY,Thomas4514,186,15
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah4515,185,16
2020,MALE,BLACK NON HISPANIC,Charles4516,184,17
2021,FEMALE,HISPANIC,Karen4517,183,18
2022,MALE,WHITE NON HISPANIC,Christopher4518,182,19
2023,FEMALE,OTHER ETHNICITY,Nancy4519,181,20
2016,MALE,ASIAN AND PACIFIC ISLANDER,James4520,180,21
2017,FEMALE,BLACK NON HISPANIC,Mary4521,179,22
2018,MALE,HISPANIC,Robert4522,178,23
2019,FEMALE,WHITE NON HISPANIC,Patricia4523,177,24
2020,MALE,OTHER ETHNICITY,Michael4524,176,25
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer4525,175,26
2022,MALE,BLACK NON HISPANIC,William4526,174,27
2023,FEMALE,HISPANIC,Linda4527,173,28
2016,MALE,WHITE NON HISPANIC,David4528,172,29
2017,FEMALE,OTHER ETHNICITY,Barbara4529,171,30
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard4530,170,31
2019,FEMALE,BLACK NON HISPANIC,Susan4531,169,32
2020,MALE,HISPANIC,Joseph4532,168,33
2021,FEMALE,WHITE NON HISPANIC,Jessica4533,167,34
2022,MALE,OTHER ETHNICITY,Thomas4534,166,35
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah4535,165,36
2016,MALE,BLACK NON HISPANIC,Charles4536,164,37
2017,FEMALE,HISPANIC,Karen4537,163,38
2018,MALE,WHITE NON HISPANIC,Christopher4538,162,39
2019,FEMALE,OTHER ETHNICITY,Nancy4539,161,40
2020,MALE,ASIAN AND PACIFIC ISLANDER,James4540,160,41
2021,FEMALE,BLACK NON HISPANIC,Mary4541,159,42
2022,MALE,HISPANIC,Robert4542,158,43
2023,FEMALE,WHITE NON HISPANIC,Patricia4543,157,44
2016,MALE,OTHER ETHNICITY,Michael4544,156,45
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer4545,155,46
2018,MALE,BLACK NON HISPANIC,William4546,154,47
2019,FEMALE,HISPANIC,Linda4547,153,48
2020,MALE,WHITE NON HISPANIC,David4548,152,49
2021,FEMALE,OTHER ETHNICITY,Barbara4549,151,50
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard4550,150,1
2023,FEMALE,BLACK NON HISPANIC,Susan4551,149,2
2016,MALE,HISPANIC,Joseph4552,148,3
2017,FEMALE,WHITE NON HISPANIC,Jessica4553,147,4
2018,MALE,OTHER ETHNICITY,Thomas4554,146,5
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah4555,145,6
2020,MALE,BLACK NON HISPANIC,Charles4556,144,7
2021,FEMALE,HISPANIC,Karen4557,143,8
2022,MALE,WHITE NON HISPANIC,Christopher4558,142,9
2023,FEMALE,OTHER ETHNICITY,Nancy4559,141,10
2016,MALE,ASIAN AND PACIFIC ISLANDER,James4560,140,11
2017,FEMALE,BLACK NON HISPANIC,Mary4561,139,12
2018,MALE,HISPANIC,Robert4562,138,13
2019,FEMALE,WHITE NON HISPANIC,Patricia4563,137,14
2020,MALE,OTHER ETHNICITY,Michael4564,136,15
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer4565,135,16
2022,MALE,BLACK NON HISPANIC,William4566,134,17
2023,FEMALE,HISPANIC,Linda4567,133,18
2016,MALE,WHITE NON HISPANIC,David4568,132,19
2017,FEMALE,OTHER ETHNICITY,Barbara4569,131,20
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard4570,130,21
2019,FEMALE,BLACK NON HISPANIC,Susan4571,129,22
2020,MALE,HISPANIC,Joseph4572,128,23
2021,FEMALE,WHITE NON HISPANIC,Jessica4573,127,24
2022,MALE,OTHER ETHNICITY,Thomas4574,126,25
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah4575,125,26
2016,MALE,BLACK NON HISPANIC,Charles4576,124,27
2017,FEMALE,HISPANIC,Karen4577,123,28
2018,MALE,WHITE NON HISPANIC,Christopher4578,122,29
2019,FEMALE,OTHER ETHNICITY,Nancy4579,121,30
2020,MALE,ASIAN AND PACIFIC ISLANDER,James4580,120,31
2021,FEMALE,BLACK NON HISPANIC,Mary4581,119,32
2022,MALE,HISPANIC,Robert4582,118,33
2023,FEMALE,WHITE NON HISPANIC,Patricia4583,117,34
2016,MALE,OTHER ETHNICITY,Michael4584,116,35
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer4585,115,36
2018,MALE,BLACK NON HISPANIC,William4586,114,37
2019,FEMALE,HISPANIC,Linda4587,113,38
2020,MALE,WHITE NON HISPANIC,David4588,112,39
2021,FEMALE,OTHER ETHNICITY,Barbara4589,111,40
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard4590,110,41
2023,FEMALE,BLACK NON HISPANIC,Susan4591,109,42
2016,MALE,HISPANIC,Joseph4592,108,43
2017,FEMALE,WHITE NON HISPANIC,Jessica4593,107,44
2018,MALE,OTHER ETHNICITY,Thomas4594,106,45
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah4595,105,46
2020,MALE,BLACK NON HISPANIC,Charles4596,104,47
2021,FEMALE,HISPANIC,Karen4597,103,48
2022,MALE,WHITE NON HISPANIC,Christopher4598,102,49
2023,FEMALE,OTHER ETHNICITY,Nancy4599,101,50
2016,MALE,ASIAN AND PACIFIC ISLANDER,James4600,200,1
2017,FEMALE,BLACK NON HISPANIC,Mary4601,199,2
2018,MALE,HISPANIC,Robert4602,198,3
2019,FEMALE,WHITE NON HISPANIC,Patricia4603,197,4
2020,MALE,OTHER ETHNICITY,Michael4604,196,5
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer4605,195,6
2022,MALE,BLACK NON HISPANIC,William4606,194,7
2023,FEMALE,HISPANIC,Linda4607,193,8
2016,MALE,WHITE NON HISPANIC,David4608,192,9
2017,FEMALE,OTHER ETHNICITY,Barbara4609,191,10
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard4610,190,11
2019,FEMALE,BLACK NON HISPANIC,Susan4611,189,12
2020,MALE,HISPANIC,Joseph4612,188,13
2021,FEMALE,WHITE NON HISPANIC,Jessica4613,187,14
2022,MALE,OTHER ETHNICITY,Thomas4614,186,15
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah4615,185,16
2016,MALE,BLACK NON HISPANIC,Charles4616,184,17
2017,FEMALE,HISPANIC,Karen4617,183,18
2018,MALE,WHITE NON HISPANIC,Christopher4618,182,19
2019,FEMALE,OTHER ETHNICITY,Nancy4619,181,20
2020,MALE,ASIAN AND PACIFIC ISLANDER,James4620,180,21
2021,FEMALE,BLACK NON HISPANIC,Mary4621,179,22
2022,MALE,HISPANIC,Robert4622,178,23
2023,FEMALE,WHITE NON HISPANIC,Patricia4623,177,24
2016,MALE,OTHER ETHNICITY,Michael4624,176,25
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer4625,175,26
2018,MALE,BLACK NON HISPANIC,William4626,174,27
2019,FEMALE,HISPANIC,Linda4627,173,28
2020,MALE,WHITE NON HISPANIC,David4628,172,29
2021,FEMALE,OTHER ETHNICITY,Barbara4629,171,30
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard4630,170,31
2023,FEMALE,BLACK NON HISPANIC,Susan4631,169,32
2016,MALE,HISPANIC,Joseph4632,168,33
2017,FEMALE,WHITE NON HISPANIC,Jessica4633,167,34
2018,MALE,OTHER ETHNICITY,Thomas4634,166,35
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah4635,165,36
2020,MALE,BLACK NON HISPANIC,Charles4636,164,37
2021,FEMALE,HISPANIC,Karen4637,163,38
2022,MALE,WHITE NON HISPANIC,Christopher4638,162,39
2023,FEMALE,OTHER ETHNICITY,Nancy4639,161,40
2016,MALE,ASIAN AND PACIFIC ISLANDER,James4640,160,41
2017,FEMALE,BLACK NON HISPANIC,Mary4641,159,42
2018,MALE,HISPANIC,Robert4642,158,43
2019,FEMALE,WHITE NON HISPANIC,Patricia4643,157,44
2020,MALE,OTHER ETHNICITY,Michael4644,156,45
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer4645,155,46
2022,MALE,BLACK NON HISPANIC,William4646,154,47
2023,FEMALE,HISPANIC,Linda4647,153,48
2016,MALE,WHITE NON HISPANIC,David4648,152,49
2017,FEMALE,OTHER ETHNICITY,Barbara4649,151,50
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard4650,150,1
2019,FEMALE,BLACK NON HISPANIC,Susan4651,149,2
2020,MALE,HISPANIC,Joseph4652,148,3
2021,FEMALE,WHITE NON HISPANIC,Jessica4653,147,4
2022,MALE,OTHER ETHNICITY,Thomas4654,146,5
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah4655,145,6
2016,MALE,BLACK NON HISPANIC,Charles4656,144,7
2017,FEMALE,HISPANIC,Karen4657,143,8
2018,MALE,WHITE NON HISPANIC,Christopher4658,142,9
2019,FEMALE,OTHER ETHNICITY,Nancy4659,141,10
2020,MALE,ASIAN AND PACIFIC ISLANDER,James4660,140,11
2021,FEMALE,BLACK NON HISPANIC,Mary4661,139,12
2022,MALE,HISPANIC,Robert4662,138,13
2023,FEMALE,WHITE NON HISPANIC,Patricia4663,137,14
2016,MALE,OTHER ETHNICITY,Michael4664,136,15
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer4665,135,16
2018,MALE,BLACK NON HISPANIC,William4666,134,17
2019,FEMALE,HISPANIC,Linda4667,133,18
2020,MALE,WHITE NON HISPANIC,David4668,132,19
2021,FEMALE,OTHER ETHNICITY,Barbara4669,131,20
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard4670,130,21
2023,FEMALE,BLACK NON HISPANIC,Susan4671,129,22
2016,MALE,HISPANIC,Joseph4672,128,23
2017,FEMALE,WHITE NON HISPANIC,Jessica4673,127,24
2018,MALE,OTHER ETHNICITY,Thomas4674,126,25
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah4675,125,26
2020,MALE,BLACK NON HISPANIC,Charles4676,124,27
2021,FEMALE,HISPANIC,Karen4677,123,28
2022,MALE,WHITE NON HISPANIC,Christopher4678,122,29
2023,FEMALE,OTHER ETHNICITY,Nancy4679,121,30
2016,MALE,ASIAN AND PACIFIC ISLANDER,James4680,120,31
2017,FEMALE,BLACK NON HISPANIC,Mary4681,119,32
2018,MALE,HISPANIC,Robert4682,118,33
2019,FEMALE,WHITE NON HISPANIC,Patricia4683,117,34
2020,MALE,OTHER ETHNICITY,Michael4684,116,35
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer4685,115,36
2022,MALE,BLACK NON HISPANIC,William4686,114,37
2023,FEMALE,HISPANIC,Linda4687,113,38
2016,MALE,WHITE NON HISPANIC,David4688,112,39
2017,FEMALE,OTHER ETHNICITY,Barbara4689,111,40
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard4690,110,41
2019,FEMALE,BLACK NON HISPANIC,Susan4691,109,42
2020,MALE,HISPANIC,Joseph4692,108,43
2021,FEMALE,WHITE NON HISPANIC,Jessica4693,107,44
2022,MALE,OTHER ETHNICITY,Thomas4694,106,45
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah4695,105,46
2016,MALE,BLACK NON HISPANIC,Charles4696,104,47
2017,FEMALE,HISPANIC,Karen4697,103,48
2018,MALE,WHITE NON HISPANIC,Christopher4698,102,49
2019,FEMALE,OTHER ETHNICITY,Nancy4699,101,50
2020,MALE,ASIAN AND PACIFIC ISLANDER,James4700,200,1
2021,FEMALE,BLACK NON HISPANIC,Mary4701,199,2
2022,MALE,HISPANIC,Robert4702,198,3
2023,FEMALE,WHITE NON HISPANIC,Patricia4703,197,4
2016,MALE,OTHER ETHNICITY,Michael4704,196,5
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer4705,195,6
2018,MALE,BLACK NON HISPANIC,William4706,194,7
2019,FEMALE,HISPANIC,Linda4707,193,8
2020,MALE,WHITE NON HISPANIC,David4708,192,9
2021,FEMALE,OTHER ETHNICITY,Barbara4709,191,10
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard4710,190,11
2023,FEMALE,BLACK NON HISPANIC,Susan4711,189,12
2016,MALE,HISPANIC,Joseph4712,188,13
2017,FEMALE,WHITE NON HISPANIC,Jessica4713,187,14
2018,MALE,OTHER ETHNICITY,Thomas4714,186,15
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah4715,185,16
2020,MALE,BLACK NON HISPANIC,Charles4716,184,17
2021,FEMALE,HISPANIC,Karen4717,183,18
2022,MALE,WHITE NON HISPANIC,Christopher4718,182,19
2023,FEMALE,OTHER ETHNICITY,Nancy4719,181,20
2016,MALE,ASIAN AND PACIFIC ISLANDER,James4720,180,21
2017,FEMALE,BLACK NON HISPANIC,Mary4721,179,22
2018,MALE,HISPANIC,Robert4722,178,23
2019,FEMALE,WHITE NON HISPANIC,Patricia4723,177,24
2020,MALE,OTHER ETHNICITY,Michael4724,176,25
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer4725,175,26
2022,MALE,BLACK NON HISPANIC,William4726,174,27
2023,FEMALE,HISPANIC,Linda4727,173,28
2016,MALE,WHITE NON HISPANIC,David4728,172,29
2017,FEMALE,OTHER ETHNICITY,Barbara4729,171,30
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard4730,170,31
2019,FEMALE,BLACK NON HISPANIC,Susan4731,169,32
2020,MALE,HISPANIC,Joseph4732,168,33
2021,FEMALE,WHITE NON HISPANIC,Jessica4733,167,34
2022,MALE,OTHER ETHNICITY,Thomas4734,166,35
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah4735,165,36
2016,MALE,BLACK NON HISPANIC,Charles4736,164,37
2017,FEMALE,HISPANIC,Karen4737,163,38
2018,MALE,WHITE NON HISPANIC,Christopher4738,162,39
2019,FEMALE,OTHER ETHNICITY,Nancy4739,161,40
2020,MALE,ASIAN AND PACIFIC ISLANDER,James4740,160,41
2021,FEMALE,BLACK NON HISPANIC,Mary4741,159,42
2022,MALE,HISPANIC,Robert4742,158,43
2023,FEMALE,WHITE NON HISPANIC,Patricia4743,157,44
2016,MALE,OTHER ETHNICITY,Michael4744,156,45
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer4745,155,46
2018,MALE,BLACK NON HISPANIC,William4746,154,47
2019,FEMALE,HISPANIC,Linda4747,153,48
2020,MALE,WHITE NON HISPANIC,David4748,152,49
2021,FEMALE,OTHER ETHNICITY,Barbara4749,151,50
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard4750,150,1
2023,FEMALE,BLACK NON HISPANIC,Susan4751,149,2
2016,MALE,HISPANIC,Joseph4752,148,3
2017,FEMALE,WHITE NON HISPANIC,Jessica4753,147,4
2018,MALE,OTHER ETHNICITY,Thomas4754,146,5
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah4755,145,6
2020,MALE,BLACK NON HISPANIC,Charles4756,144,7
2021,FEMALE,HISPANIC,Karen4757,143,8
2022,MALE,WHITE NON HISPANIC,Christopher4758,142,9
2023,FEMALE,OTHER ETHNICITY,Nancy4759,141,10
2016,MALE,ASIAN AND PACIFIC ISLANDER,James4760,140,11
2017,FEMALE,BLACK NON HISPANIC,Mary4761,139,12
2018,MALE,HISPANIC,Robert4762,138,13
2019,FEMALE,WHITE NON HISPANIC,Patricia4763,137,14
2020,MALE,OTHER ETHNICITY,Michael4764,136,15
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer4765,135,16
2022,MALE,BLACK NON HISPANIC,William4766,134,17
2023,FEMALE,HISPANIC,Linda4767,133,18
2016,MALE,WHITE NON HISPANIC,David4768,132,19
2017,FEMALE,OTHER ETHNICITY,Barbara4769,131,20
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard4770,130,21
2019,FEMALE,BLACK NON HISPANIC,Susan4771,129,22
2020,MALE,HISPANIC,Joseph4772,128,23
2021,FEMALE,WHITE NON HISPANIC,Jessica4773,127,24
2022,MALE,OTHER ETHNICITY,Thomas4774,126,25
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah4775,125,26
2016,MALE,BLACK NON HISPANIC,Charles4776,124,27
2017,FEMALE,HISPANIC,Karen4777,123,28
2018,MALE,WHITE NON HISPANIC,Christopher4778,122,29
2019,FEMALE,OTHER ETHNICITY,Nancy4779,121,30
2020,MALE,ASIAN AND PACIFIC ISLANDER,James4780,120,31
